NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_NEGATIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	13		Rejected!	
GO_LAMELLIPODIUM_ASSEMBLY	67	62		
GO_RESPONSE_TO_WATER_DEPRIVATION	9		Rejected!	
GO_MITOTIC_CHROMOSOME_CONDENSATION	17	17		
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS	432	378		
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	557	480		
GO_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	91	81		
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	11		Rejected!	
GO_RENAL_SYSTEM_PROCESS	117	108		
GO_LEUKOCYTE_HOMEOSTASIS	87	86		
GO_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	73	65		
GO_LUNG_ALVEOLUS_DEVELOPMENT	41	40		
GO_PROGESTERONE_METABOLIC_PROCESS	10		Rejected!	
GO_SPLEEN_DEVELOPMENT	34	32		
GO_RHO_PROTEIN_SIGNAL_TRANSDUCTION	201	197		
GO_RESPONSE_TO_LEPTIN	21	20		
GO_NEUROPEPTIDE_SIGNALING_PATHWAY	105	61		
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	18	17		
GO_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	27	25		
GO_AMP_METABOLIC_PROCESS	8		Rejected!	
GO_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS	222	194		
GO_NEGATIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	27	25		
GO_REGULATION_OF_RNA_SPLICING	137	124		
GO_REGULATION_OF_BLOOD_CIRCULATION	299	261		
GO_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION	51	47		
GO_NEGATIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	13		Rejected!	
GO_EMBRYONIC_CRANIAL_SKELETON_MORPHOGENESIS	46	45		
GO_CELLULAR_RESPONSE_TO_GONADOTROPIN_STIMULUS	18	17		
GO_REGULATION_OF_HISTONE_H3_K9_ACETYLATION	10		Rejected!	
GO_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	58	52		
GO_NEGATIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	15		Rejected!	
GO_CARDIAC_CELL_DEVELOPMENT	95	73		
GO_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	39	31		
GO_RESPONSE_TO_CALCIUM_ION	149	136		
GO_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	12		Rejected!	
GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	62	61		
GO_REGULATION_OF_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER	28	26		
GO_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	31	29		
GO_INNER_EAR_MORPHOGENESIS	96	83		
GO_RESPONSE_TO_ACTIVITY	64	56		
GO_ESTROUS_CYCLE	14		Rejected!	
GO_ORGANELLE_FUSION	122	118		
GO_STEROID_CATABOLIC_PROCESS	27	24		
GO_REGULATION_OF_CELL_FATE_COMMITMENT	36	26		
GO_REGULATION_OF_CELL_MORPHOGENESIS	477	459		
GO_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_RESULTING_IN_TRANSCRIPTION	17	17		
GO_ACUTE_PHASE_RESPONSE	47	43		
GO_POSITIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	13		Rejected!	
GO_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	143	125		
GO_CELLULAR_RESPONSE_TO_ALKALOID	35	31		
GO_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	260	203		
GO_MYOBLAST_FUSION	38	31		
GO_TRNA_MODIFICATION	86	83		
GO_CYTOSOLIC_TRANSPORT	156	152		
GO_INOSITOL_LIPID_MEDIATED_SIGNALING	183	173		
GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	13		Rejected!	
GO_DNA_CATABOLIC_PROCESS_ENDONUCLEOLYTIC	32	28		
GO_POSITIVE_REGULATION_OF_GLIOGENESIS	72	62		
GO_LACTATION	48	42		
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	349	304		
GO_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	20	19		
GO_EMBRYO_IMPLANTATION	50	42		
GO_RECEPTOR_CLUSTERING	54	52		
GO_PIGMENT_ACCUMULATION	12		Rejected!	
GO_FATTY_ACID_ELONGATION	13		Rejected!	
GO_CYTOSKELETON_DEPENDENT_CYTOKINESIS	97	82		
GO_QUINONE_METABOLIC_PROCESS	12		Rejected!	
GO_FLUID_TRANSPORT	26	22		
GO_SYNAPSE_ASSEMBLY	177	161		
GO_PIGMENT_METABOLIC_PROCESS	71	69		
GO_IMMUNE_EFFECTOR_PROCESS	1253		Rejected!	
GO_ODONTOGENESIS	127	113		
GO_CORPUS_CALLOSUM_DEVELOPMENT	16	16		
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	16		Rejected!	
GO_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	149	146		
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	16	16		
GO_NUCLEOBASE_BIOSYNTHETIC_PROCESS	19	19		
GO_NEGATIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	52	44		
GO_GOLGI_ORGANIZATION	143	132		
GO_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	375	354		
GO_REGULATION_OF_OSSIFICATION	194	174		
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	421	398		
GO_DIVALENT_INORGANIC_CATION_TRANSPORT	476	425		
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	74	70		
GO_PROTEIN_HETEROOLIGOMERIZATION	135	95		
GO_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	399	371		
GO_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION	20	16		
GO_ACTIVATION_OF_MAPKK_ACTIVITY	54	52		
GO_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	47	39		
GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	128	122		
GO_REGULATION_OF_T_CELL_MIGRATION	42	41		
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	133	128		
GO_POSITIVE_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS	24	22		
GO_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	142	129		
GO_PROTEIN_TARGETING_TO_MITOCHONDRION	101	99		
GO_POSITIVE_REGULATION_OF_OSSIFICATION	86	80		
GO_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	231	212		
GO_REGULATION_OF_VASCULATURE_DEVELOPMENT	426	304		
GO_DETECTION_OF_CALCIUM_ION	13		Rejected!	
GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC	73	70		
GO_FRUCTOSE_METABOLIC_PROCESS	10		Rejected!	
GO_EYE_MORPHOGENESIS	148	136		
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	23	23		
GO_POSITIVE_CHEMOTAXIS	68	61		
GO_NEGATIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	20	20		
GO_RESPONSE_TO_NITRIC_OXIDE	19	18		
GO_HEAD_MORPHOGENESIS	38	38		
GO_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	18	18		
GO_REGULATION_OF_STEM_CELL_DIFFERENTIATION	112	107		
GO_BRAIN_MORPHOGENESIS	34	31		
GO_AMINE_BIOSYNTHETIC_PROCESS	24	21		
GO_SINGLE_STRAND_BREAK_REPAIR	9		Rejected!	
GO_REGULATION_OF_MITOTIC_RECOMBINATION	7		Rejected!	
GO_UREA_CYCLE	11		Rejected!	
GO_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	9		Rejected!	
GO_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	7		Rejected!	
GO_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	9		Rejected!	
GO_SULFUR_AMINO_ACID_TRANSPORT	7		Rejected!	
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	820		Rejected!	
GO_MEIOTIC_SPINDLE_ORGANIZATION	13		Rejected!	
GO_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GO_RE_ENTRY_INTO_MITOTIC_CELL_CYCLE	5		Rejected!	
GO_PROTEIN_DENEDDYLATION	10		Rejected!	
GO_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	12		Rejected!	
GO_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GO_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	5		Rejected!	
GO_MRNA_5_SPLICE_SITE_RECOGNITION	28		Rejected!	
GO_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	40	32		
GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	6		Rejected!	
GO_AUTOPHAGY_OF_MITOCHONDRION	75	72		
GO_MITOPHAGY	21	21		
GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA_	8		Rejected!	
GO_EXONUCLEOLYTIC_TRIMMING_INVOLVED_IN_RRNA_PROCESSING	7		Rejected!	
GO_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA_	13		Rejected!	
GO_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	11		Rejected!	
GO_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA_	5		Rejected!	
GO_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	11		Rejected!	
GO_BOX_C_D_SNORNP_ASSEMBLY	9		Rejected!	
GO_MEIOTIC_DNA_DOUBLE_STRAND_BREAK_PROCESSING	5		Rejected!	
GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	18	17		
GO_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION	5		Rejected!	
GO_DNA_STRAND_RENATURATION	9		Rejected!	
GO_DNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	5		Rejected!	
GO_REGULATION_OF_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	7		Rejected!	
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	207	201		
GO_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	5		Rejected!	
GO_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GO_RNA_5_END_PROCESSING	21	20		
GO_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	9		Rejected!	
GO_REPLICATIVE_CELL_AGING	6		Rejected!	
GO_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GO_OVULATION_FROM_OVARIAN_FOLLICLE	9		Rejected!	
GO_ANTRAL_OVARIAN_FOLLICLE_GROWTH	8		Rejected!	
GO_LUTEINIZATION	10		Rejected!	
GO_LUTEOLYSIS	7		Rejected!	
GO_FATTY_ACID_ALPHA_OXIDATION	8		Rejected!	
GO_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	30	26		
GO_FEVER_GENERATION	10		Rejected!	
GO_CONDITIONED_TASTE_AVERSION	5		Rejected!	
GO_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	9		Rejected!	
GO_TRNA_5_LEADER_REMOVAL	12		Rejected!	
GO_GASTRIC_ACID_SECRETION	19	18		
GO_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GO_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX	14		Rejected!	
GO_SOMITE_SPECIFICATION	5		Rejected!	
GO_MEMBRANE_RAFT_ASSEMBLY	13		Rejected!	
GO_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	11		Rejected!	
GO_PLASMA_MEMBRANE_REPAIR	8		Rejected!	
GO_NEUTROPHIL_HOMEOSTASIS	16	16		
GO_NEUTROPHIL_APOPTOTIC_PROCESS	8		Rejected!	
GO_B_CELL_APOPTOTIC_PROCESS	24	24		
GO_NATURAL_KILLER_CELL_PROLIFERATION	11		Rejected!	
GO_SEROTONIN_SECRETION	10		Rejected!	
GO_INNER_CELL_MASS_CELL_DIFFERENTIATION	7		Rejected!	
GO_NEURAL_PLATE_MORPHOGENESIS	7		Rejected!	
GO_NEURAL_PLATE_DEVELOPMENT	10		Rejected!	
GO_NEURAL_FOLD_FORMATION	7		Rejected!	
GO_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	30	30		
GO_NK_T_CELL_DIFFERENTIATION	8		Rejected!	
GO_NK_T_CELL_PROLIFERATION	7		Rejected!	
GO_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	13		Rejected!	
GO_RECEPTOR_RECYCLING	34	34		
GO_ENDOTHELIAL_CELL_MORPHOGENESIS	14		Rejected!	
GO_SELENIUM_COMPOUND_METABOLIC_PROCESS	6		Rejected!	
GO_T_CELL_MEDIATED_CYTOTOXICITY	49	48		
GO_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	7		Rejected!	
GO_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GO_BLOOD_VESSEL_MATURATION	8		Rejected!	
GO_ADENOSINE_RECEPTOR_SIGNALING_PATHWAY	13		Rejected!	
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	8		Rejected!	
GO_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GO_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	12		Rejected!	
GO_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	5		Rejected!	
GO_DIET_INDUCED_THERMOGENESIS	9		Rejected!	
GO_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	5		Rejected!	
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	55	23		
GO_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	7		Rejected!	
GO_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	8		Rejected!	
GO_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	14		Rejected!	
GO_TRNA_WOBBLE_BASE_MODIFICATION	22	21		
GO_TRNA_WOBBLE_URIDINE_MODIFICATION	18	17		
GO_STORE_OPERATED_CALCIUM_ENTRY	19	18		
GO_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GO_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	7		Rejected!	
GO_REGULATION_OF_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	5		Rejected!	
GO_OSTEOCLAST_PROLIFERATION	8		Rejected!	
GO_PROTEIN_LOCALIZATION_TO_PARANODE_REGION_OF_AXON	5		Rejected!	
GO_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	11		Rejected!	
GO_CAP_INDEPENDENT_TRANSLATIONAL_INITIATION	5		Rejected!	
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	26	25		
GO_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GO_LYMPHOCYTE_ANERGY	5		Rejected!	
GO_LEUKOCYTE_ACTIVATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	45	36		
GO_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL	8		Rejected!	
GO_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	9		Rejected!	
GO_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	6		Rejected!	
GO_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GO_B_CELL_LINEAGE_COMMITMENT	5		Rejected!	
GO_IMMATURE_B_CELL_DIFFERENTIATION	9		Rejected!	
GO_PRO_B_CELL_DIFFERENTIATION	11		Rejected!	
GO_PRE_B_CELL_DIFFERENTIATION	5		Rejected!	
GO_RESPONSE_TO_TUMOR_CELL	24	23		
GO_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	7		Rejected!	
GO_CD4_POSITIVE_CD25_POSITIVE_ALPHA_BETA_REGULATORY_T_CELL_DIFFERENTIATION	5		Rejected!	
GO_ALPHA_BETA_T_CELL_LINEAGE_COMMITMENT	19	19		
GO_T_CELL_CYTOKINE_PRODUCTION	39	36		
GO_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION	8		Rejected!	
GO_DENDRITIC_CELL_CYTOKINE_PRODUCTION	12		Rejected!	
GO_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	20	18		
GO_MHC_PROTEIN_COMPLEX_ASSEMBLY	6		Rejected!	
GO_IMMUNE_RESPONSE_TO_TUMOR_CELL	18	18		
GO_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	11		Rejected!	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB	9		Rejected!	
GO_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	13		Rejected!	
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	143	138		
GO_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	22	20		
GO_T_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	5		Rejected!	
GO_TOLERANCE_INDUCTION_DEPENDENT_UPON_IMMUNE_RESPONSE	5		Rejected!	
GO_GERMINAL_CENTER_FORMATION	15	15		
GO_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	11		Rejected!	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_TAP_INDEPENDENT	9		Rejected!	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I_VIA_ER_PATHWAY	7		Rejected!	
GO_TOLERANCE_INDUCTION_TO_SELF_ANTIGEN	5		Rejected!	
GO_T_CELL_TOLERANCE_INDUCTION	12		Rejected!	
GO_HYPERSENSITIVITY	9		Rejected!	
GO_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	47	36		
GO_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE	7		Rejected!	
GO_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_GERMLINE_RECOMBINATION_WITHIN_A_SINGLE_LOCUS	60	58		
GO_SOMATIC_DIVERSIFICATION_OF_T_CELL_RECEPTOR_GENES	5		Rejected!	
GO_NEGATIVE_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	8		Rejected!	
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	5		Rejected!	
GO_POSITIVE_REGULATION_OF_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	7		Rejected!	
GO_REGULATION_OF_GERMINAL_CENTER_FORMATION	9		Rejected!	
GO_NEGATIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION	12		Rejected!	
GO_POSITIVE_REGULATION_OF_TOLERANCE_INDUCTION	10		Rejected!	
GO_POSITIVE_REGULATION_OF_T_CELL_TOLERANCE_INDUCTION	7		Rejected!	
GO_RESPIRATORY_BURST_INVOLVED_IN_DEFENSE_RESPONSE	13		Rejected!	
GO_NEGATIVE_REGULATION_OF_CELLULAR_EXTRAVASATION	8		Rejected!	
GO_NEGATIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	11		Rejected!	
GO_NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION	9		Rejected!	
GO_POSITIVE_REGULATION_OF_DENDRITIC_CELL_CYTOKINE_PRODUCTION	7		Rejected!	
GO_NEGATIVE_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	6		Rejected!	
GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE	8		Rejected!	
GO_REGULATION_OF_ANTIMICROBIAL_HUMORAL_RESPONSE	6		Rejected!	
GO_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	662		Rejected!	
GO_IMMUNE_RESPONSE_INHIBITING_SIGNAL_TRANSDUCTION	8		Rejected!	
GO_IMMUNE_RESPONSE_INHIBITING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GO_ANTIMICROBIAL_PEPTIDE_PRODUCTION	6		Rejected!	
GO_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	7		Rejected!	
GO_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	9		Rejected!	
GO_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	12		Rejected!	
GO_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	11		Rejected!	
GO_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	13		Rejected!	
GO_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	5		Rejected!	
GO_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	8		Rejected!	
GO_POSITIVE_REGULATION_OF_HYPERSENSITIVITY	6		Rejected!	
GO_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	53	52		
GO_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	10		Rejected!	
GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	11		Rejected!	
GO_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	6		Rejected!	
GO_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	5		Rejected!	
GO_LIPID_HYDROXYLATION	6		Rejected!	
GO_DESMOSOME_ORGANIZATION	10		Rejected!	
GO_VOLUNTARY_SKELETAL_MUSCLE_CONTRACTION	5		Rejected!	
GO_REGULATION_OF_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	8		Rejected!	
GO_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION_BY_CHEMICAL_SIGNAL	6		Rejected!	
GO_REGULATION_OF_HEART_RATE_BY_CHEMICAL_SIGNAL	8		Rejected!	
GO_RENAL_CONTROL_OF_PERIPHERAL_VASCULAR_RESISTANCE_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	5		Rejected!	
GO_POSITIVE_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	13		Rejected!	
GO_RENAL_SODIUM_ION_TRANSPORT	6		Rejected!	
GO_RENAL_WATER_TRANSPORT	6		Rejected!	
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_ENDOTHELIN	6		Rejected!	
GO_HEART_FIELD_SPECIFICATION	15		Rejected!	
GO_HEART_INDUCTION	8		Rejected!	
GO_SECONDARY_HEART_FIELD_SPECIFICATION	9		Rejected!	
GO_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY_IN_LATERAL_MESODERM	8		Rejected!	
GO_MEMBRANOUS_SEPTUM_MORPHOGENESIS	10		Rejected!	
GO_MUSCULAR_SEPTUM_MORPHOGENESIS	5		Rejected!	
GO_REGULATION_OF_ANIMAL_ORGAN_FORMATION	38	34		
GO_ENDOCARDIUM_MORPHOGENESIS	6		Rejected!	
GO_HIS_PURKINJE_SYSTEM_DEVELOPMENT	5		Rejected!	
GO_MITRAL_VALVE_DEVELOPMENT	11		Rejected!	
GO_TRICUSPID_VALVE_DEVELOPMENT	6		Rejected!	
GO_AORTIC_VALVE_DEVELOPMENT	28	27		
GO_PULMONARY_VALVE_DEVELOPMENT	19	18		
GO_PULMONARY_VALVE_MORPHOGENESIS	16	15		
GO_TRICUSPID_VALVE_MORPHOGENESIS	5		Rejected!	
GO_ATRIOVENTRICULAR_VALVE_FORMATION	7		Rejected!	
GO_CARDIAC_VENTRICLE_FORMATION	10		Rejected!	
GO_VENTRICULAR_COMPACT_MYOCARDIUM_MORPHOGENESIS	8		Rejected!	
GO_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	7		Rejected!	
GO_GROWTH_INVOLVED_IN_HEART_MORPHOGENESIS	5		Rejected!	
GO_CARDIAC_NEURAL_CREST_CELL_MIGRATION_INVOLVED_IN_OUTFLOW_TRACT_MORPHOGENESIS	7		Rejected!	
